"open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
1684486800000,"0.001688","0.001690","0.001688","0.001689","5894261",1684486859999,"9954.496622",130,"3568999","6028.398916"
1684486860000,"0.001689","0.001691","0.001689","0.001690","4194729",1684486919999,"7087.911105",80,"2362205","3992.735992"
1684486920000,"0.001690","0.001691","0.001690","0.001691","111904",1684486979999,"189.220555",19,"102795","173.826345"
1684486980000,"0.001690","0.001691","0.001690","0.001691","729306",1684487039999,"1232.746373",18,"219233","370.723003"
1684487040000,"0.001690","0.001691","0.001690","0.001691","170419",1684487099999,"288.057337",9,"49227","83.242857"
1684487100000,"0.001690","0.001691","0.001690","0.001690","817302",1684487159999,"1381.301345",20,"60965","103.091815"
1684487160000,"0.001690","0.001691","0.001689","0.001689","8375583",1684487219999,"14152.819134",37,"106843","180.561081"
1684487220000,"0.001689","0.001689","0.001689","0.001689","672092",1684487279999,"1135.163388",10,"672092","1135.163388"
1684487280000,"0.001689","0.001689","0.001688","0.001689","427767",1684487339999,"722.462095",7,"391399","661.072911"
1684487340000,"0.001689","0.001689","0.001688","0.001689","1278126",1684487399999,"2157.508895",8,"32207","54.397623"
1684487400000,"0.001689","0.001689","0.001687","0.001687","3492471",1684487459999,"5894.468947",21,"53508","90.325312"
1684487460000,"0.001688","0.001688","0.001687","0.001687","196410",1684487519999,"331.446760",8,"103090","174.015920"
1684487520000,"0.001688","0.001688","0.001685","0.001685","4005382",1684487579999,"6755.182217",25,"76836","129.699168"
1684487580000,"0.001686","0.001686","0.001684","0.001684","2656059",1684487639999,"4474.857519",25,"327749","552.399945"
1684487640000,"0.001685","0.001686","0.001684","0.001684","4031583",1684487699999,"6793.602425",59,"2978830","5019.726364"
1684487700000,"0.001685","0.001687","0.001684","0.001687","4163567",1684487759999,"7016.605785",71,"3805986","6414.023642"
1684487760000,"0.001686","0.001687","0.001686","0.001687","438071",1684487819999,"738.589624",9,"1918","3.235666"
1684487820000,"0.001686","0.001686","0.001684","0.001684","4827400",1684487879999,"8136.714711",53,"125975","212.298904"
1684487880000,"0.001684","0.001684","0.001683","0.001684","343198",1684487939999,"577.806340",8,"1918","3.229912"
1684487940000,"0.001684","0.001684","0.001683","0.001683","32944",1684487999999,"55.446670",3,"1918","3.229912"
1684488000000,"0.001684","0.001684","0.001683","0.001683","1045515",1684488059999,"1760.045735",25,"443990","747.679160"
